年份,Tot數值,Tot變化,是承諾值
2013,8786220.05,113.66,
2014,8645830,111.84,
2015,7719493.64,99.86,
2016,7378004.73,95.44,
2017,7255389.07,93.86,
2018,7959450.7,102.96,
2019,7730355.53,100,
2020,6669261.89,86.27,
2021,7819025.91,101.15,T
2022,7583945.6,98.11,T
2023,7348865.28,95.07,T
2024,7113784.97,92.02,T
2025,6878704.66,88.98,T
2026,6672575.13,86.32,T
2027,6466445.6,83.65,T
2028,6260316.06,80.98,T
2029,6054186.53,78.32,T
2030,5848056.99,75.65,T
2031,5555654.14,71.87,T
2032,5263251.29,68.09,T
2033,4970848.45,64.3,T
2034,4678445.6,60.52,T
2035,4386042.75,56.74,T
2036,4093639.9,52.96,T
2037,3801237.05,49.17,T
2038,3508834.2,45.39,T
2039,3216431.35,41.61,T
2040,2924028.5,37.83,T
2041,2631625.65,34.04,T
2042,2339222.8,30.26,T
2043,2046819.95,26.48,T
2044,1754417.1,22.7,T
2045,1462014.25,18.91,T
2046,1169611.4,15.13,T
2047,877208.55,11.35,T
2048,584805.7,7.57,T
2049,292402.85,3.78,T
2050,0,0,T
