分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,551
S,員工薪資,薪資中位數,仟元,2020,472
S,員工薪資,平均薪資,仟元,2019,555
S,員工薪資,薪資中位數,仟元,2019,473
S,員工薪資,平均薪資,仟元,2018,555
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1377095130
G,,資本額,元,2019,1377095130
G,收入、成本與淨利,營業收入,仟元,2020,490557
G,收入、成本與淨利,營業成本,仟元,2020,334603
G,收入、成本與淨利,營業費用,仟元,2020,153272
G,收入、成本與淨利,淨利,仟元,2020,-7438
G,收入、成本與淨利,營業收入,仟元,2019,550215
G,收入、成本與淨利,營業成本,仟元,2019,437868
G,收入、成本與淨利,營業費用,仟元,2019,114190
G,收入、成本與淨利,淨利,仟元,2019,290
G,收入、成本與淨利,營業收入,仟元,2018,447125
G,收入、成本與淨利,營業成本,仟元,2018,422023
G,收入、成本與淨利,營業費用,仟元,2018,101797
G,收入、成本與淨利,淨利,仟元,2018,-28596
G,收入、成本與淨利,營業收入,仟元,2017,527239
G,收入、成本與淨利,營業成本,仟元,2017,458013
G,收入、成本與淨利,營業費用,仟元,2017,113296
G,收入、成本與淨利,淨利,仟元,2017,-40499
G,收入、成本與淨利,營業收入,仟元,2016,922575
G,收入、成本與淨利,營業成本,仟元,2016,694834
G,收入、成本與淨利,營業費用,仟元,2016,148816
G,收入、成本與淨利,淨利,仟元,2016,65176
