年份,Tot數值,Tot變化,是推估值
2019,27156470.61,99.14,
2020,26767510.75,97.72,T
2021,26378550.88,96.3,T
2022,25989591.02,94.88,T
2023,25600631.15,93.46,T
2024,25211671.29,92.04,T
2025,24822711.42,90.62,
2026,24440823.55,89.22,T
2027,24058935.68,87.83,T
2028,23677047.82,86.43,T
2029,23295159.95,85.04,T
2030,22913272.08,83.65,
2031,21767608.48,79.46,T
2032,20621944.87,75.28,T
2033,19476281.27,71.1,T
2034,18330617.66,66.92,T
2035,17184954.06,62.73,T
2036,16039290.46,58.55,T
2037,14893626.85,54.37,T
2038,13747963.25,50.19,T
2039,12602299.64,46.01,T
2040,11456636.04,41.82,T
2041,10310972.44,37.64,T
2042,9165308.83,33.46,T
2043,8019645.23,29.28,T
2044,6873981.62,25.09,T
2045,5728318.02,20.91,T
2046,4582654.42,16.73,T
2047,3436990.81,12.55,T
2048,2291327.21,8.36,T
2049,1145663.6,4.18,T
2050,0,0,
