分類,子分類,項目,單位,年份,數值
G,,資本額,元,2020,319550000
G,,資本額,元,2019,319550000
G,收入、成本與淨利,營業收入,仟元,2020,351676
G,收入、成本與淨利,營業成本,仟元,2020,219804
G,收入、成本與淨利,營業費用,仟元,2020,60140
G,收入、成本與淨利,淨利,仟元,2020,57717
G,收入、成本與淨利,營業收入,仟元,2019,269963
G,收入、成本與淨利,營業成本,仟元,2019,189467
G,收入、成本與淨利,營業費用,仟元,2019,47180
G,收入、成本與淨利,淨利,仟元,2019,38784
G,收入、成本與淨利,營業收入,仟元,2018,327246
G,收入、成本與淨利,營業成本,仟元,2018,266028
G,收入、成本與淨利,營業費用,仟元,2018,37616
G,收入、成本與淨利,淨利,仟元,2018,45702
G,收入、成本與淨利,營業收入,仟元,2017,713864
G,收入、成本與淨利,營業成本,仟元,2017,538320
G,收入、成本與淨利,營業費用,仟元,2017,61869
G,收入、成本與淨利,淨利,仟元,2017,63564
G,收入、成本與淨利,營業收入,仟元,2016,320646
G,收入、成本與淨利,營業成本,仟元,2016,243152
G,收入、成本與淨利,營業費用,仟元,2016,36936
G,收入、成本與淨利,淨利,仟元,2016,28299
