年份,Tot數值,Tot變化,是推估值
2019,4313000,100,
2020,4263561.58,98.85,T
2021,4214123.17,97.71,T
2022,4164684.75,96.56,T
2023,4115246.33,95.41,T
2024,4065807.92,94.27,T
2025,4016369.5,93.12,
2026,3904455.6,90.53,T
2027,3792541.7,87.93,T
2028,3680627.8,85.34,T
2029,3568713.9,82.74,T
2030,3456800,80.15,
2031,3283960,76.14,T
2032,3111120,72.13,T
2033,2938280,68.13,T
2034,2765440,64.12,T
2035,2592600,60.11,T
2036,2419760,56.1,T
2037,2246920,52.1,T
2038,2074080,48.09,T
2039,1901240,44.08,T
2040,1728400,40.07,T
2041,1555560,36.07,T
2042,1382720,32.06,T
2043,1209880,28.05,T
2044,1037040,24.04,T
2045,864200,20.04,T
2046,691360,16.03,T
2047,518520,12.02,T
2048,345680,8.01,T
2049,172840,4.01,T
2050,0,0,
