年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,1413654.22,94.26,788799.2,98.66,624855.02,89.23,
2019,1499807.13,100,799548.33,100,700258.8,100,
2018,1372092.47,91.48,850804.01,106.41,521288.46,74.44,
2017,1375369.66,91.7,869641.83,108.77,505727.83,72.22,
2016,1314299.76,87.63,855405.53,106.99,458894.23,65.53,
2015,1386333.58,92.43,775715.32,97.02,610618.26,87.2,
2014,1016357.74,67.77,756662.62,94.64,259695.12,37.09,
2021,1426415.74,95.11,761851.66,95.29,664564.08,94.9,T
2022,1439177.26,95.96,734904.11,91.91,704273.15,100.57,T
2023,1451938.78,96.81,707956.57,88.54,743982.21,106.24,T
2024,1464700.3,97.66,681009.03,85.17,783691.27,111.91,T
2025,1477461.82,98.51,654061.48,81.8,823400.34,117.59,T
2026,1490223.34,99.36,627113.94,78.43,863109.4,123.26,T
2027,1502984.86,100.21,600166.4,75.06,902818.46,128.93,T
2028,1515746.38,101.06,573218.85,71.69,942527.53,134.6,T
2029,1528507.9,101.91,546271.31,68.32,982236.59,140.27,T
2030,1541269.42,102.76,519323.77,64.95,1021945.65,145.94,T
2031,1554030.94,103.62,492376.22,61.58,1061654.72,151.61,T
2032,1566792.46,104.47,465428.68,58.21,1101363.78,157.28,T
2033,1579553.98,105.32,438481.14,54.84,1141072.84,162.95,T
2034,1592315.5,106.17,411533.59,51.47,1180781.91,168.62,T
2035,1605077.02,107.02,384586.05,48.1,1220490.97,174.29,T
2036,1617838.54,107.87,357638.51,44.73,1260200.03,179.96,T
2037,1630600.06,108.72,330690.96,41.36,1299909.1,185.63,T
2038,1643361.58,109.57,303743.42,37.99,1339618.16,191.3,T
2039,1656123.1,110.42,276795.88,34.62,1379327.22,196.97,T
2040,1668884.62,111.27,249848.33,31.25,1419036.29,202.64,T
2041,1681646.14,112.12,222900.79,27.88,1458745.35,208.32,T
2042,1694407.66,112.98,195953.25,24.51,1498454.41,213.99,T
2043,1707169.18,113.83,169005.7,21.14,1538163.48,219.66,T
2044,1719930.7,114.68,142058.16,17.77,1577872.54,225.33,T
2045,1732692.22,115.53,115110.62,14.4,1617581.6,231,T
2046,1745453.74,116.38,88163.07,11.03,1657290.67,236.67,T
2047,1758215.26,117.23,61215.53,7.66,1696999.73,242.34,T
2048,1770976.78,118.08,34267.99,4.29,1736708.79,248.01,T
2049,1783738.3,118.93,7320.44,0.92,1776417.86,253.68,T
2050,1796499.82,119.78,0,0,1816126.92,259.35,T
