年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,423041.14,107.33,174460.44,111.34,248580.7,104.68,
2019,394160.12,100,156694.45,100,237465.67,100,
2018,419026.1,106.31,172668.49,110.19,246357.61,103.74,
2017,432481.93,109.72,179330.25,114.45,253151.68,106.61,
2016,377078,95.67,143499.19,91.58,233578.81,98.36,
2015,401308.75,101.81,162584.33,103.76,238724.42,100.53,
2014,424096.9,107.6,180882.87,115.44,243214.03,102.42,
2013,444351.65,112.73,199135.15,127.09,245216.5,103.26,
2021,419894.21,106.53,172837.17,110.3,247057.04,104.04,T
2022,416747.28,105.73,171213.9,109.27,245533.38,103.4,T
2023,413600.35,104.93,169590.63,108.23,244009.72,102.76,T
2024,410453.42,104.13,167967.36,107.19,242486.06,102.11,T
2025,407306.49,103.34,166344.09,106.16,240962.4,101.47,T
2026,404159.56,102.54,164720.82,105.12,239438.74,100.83,T
2027,401012.63,101.74,163097.55,104.09,237915.08,100.19,T
2028,397865.7,100.94,161474.28,103.05,236391.42,99.55,T
2029,394718.77,100.14,159851.01,102.01,234867.76,98.91,T
2030,391571.84,99.34,158227.74,100.98,233344.1,98.26,T
2031,388424.91,98.54,156604.47,99.94,231820.44,97.62,T
2032,385277.98,97.75,154981.2,98.91,230296.78,96.98,T
2033,382131.05,96.95,153357.93,97.87,228773.12,96.34,T
2034,378984.12,96.15,151734.66,96.83,227249.46,95.7,T
2035,375837.19,95.35,150111.39,95.8,225725.8,95.06,T
2036,372690.26,94.55,148488.12,94.76,224202.14,94.41,T
2037,369543.33,93.75,146864.85,93.73,222678.48,93.77,T
2038,366396.4,92.96,145241.58,92.69,221154.82,93.13,T
2039,363249.47,92.16,143618.31,91.66,219631.16,92.49,T
2040,360102.54,91.36,141995.04,90.62,218107.5,91.85,T
2041,356955.61,90.56,140371.77,89.58,216583.84,91.21,T
2042,353808.68,89.76,138748.5,88.55,215060.18,90.56,T
2043,350661.75,88.96,137125.23,87.51,213536.52,89.92,T
2044,347514.82,88.17,135501.96,86.48,212012.86,89.28,T
2045,344367.89,87.37,133878.69,85.44,210489.2,88.64,T
2046,341220.96,86.57,132255.42,84.4,208965.54,88,T
2047,338074.03,85.77,130632.15,83.37,207441.88,87.36,T
2048,334927.1,84.97,129008.88,82.33,205918.22,86.71,T
2049,331780.17,84.17,127385.61,81.3,204394.56,86.07,T
2050,328633.24,83.38,125762.34,80.26,202870.9,85.43,T
