分類,子分類,項目,單位,年份,數值
E,環境違規,違反環境法規金額,元,2017,18000
E,環境違規,違反環境法規次數,次,2017,3
G,資本額,資本額,元,2020,304737330
G,資本額,資本額,元,2019,304737330
G,營運狀況,營業收入,仟元,2020,1213545
G,營運狀況,營業成本,仟元,2020,488990
G,營運狀況,營業費用,仟元,2020,228287
G,營運狀況,淨利,仟元,2020,402453
G,營運狀況,營業收入,仟元,2019,136475
G,營運狀況,營業成本,仟元,2019,89876
G,營運狀況,營業費用,仟元,2019,76350
G,營運狀況,淨利,仟元,2019,-28585
