年份,Tot數值,Tot變化,是承諾值
2014,616471.19,91.47,
2015,643729.8,95.52,
2016,658667.4,97.74,
2017,663405.25,98.44,
2018,686856.64,101.92,
2019,673925.98,100,
2020,745915.47,110.68,
2021,759360,112.68,T
2022,727720,107.98,T
2023,696080,103.29,T
2024,664440,98.59,T
2025,632800,93.9,T
2026,601160,89.2,T
2027,569520,84.51,T
2028,537880,79.81,T
2029,506240,75.12,T
2030,474600,70.42,T
2031,450870,66.9,T
2032,427140,63.38,T
2033,403410,59.86,T
2034,379680,56.34,T
2035,355950,52.82,T
2036,332220,49.3,T
2037,308490,45.78,T
2038,284760,42.25,T
2039,261030,38.73,T
2040,237300,35.21,T
2041,213570,31.69,T
2042,189840,28.17,T
2043,166110,24.65,T
2044,142380,21.13,T
2045,118650,17.61,T
2046,94920,14.08,T
2047,71190,10.56,T
2048,47460,7.04,T
2049,23730,3.52,T
2050,0,0,T
