分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2013,111085.13
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2013,195430.86
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,109107.93000000002
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,247515.74
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,88666.76000000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,250991.35
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,88360.9
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,255821.61
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,1438.574050725896
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,107059.93000000002
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,274363.72
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,1606.3690225004063
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,95022.69000000002
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,264355.87
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,2130.7457082537467
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,109550.51000000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,257135.43
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,2244.505769280444
S,員工薪資,平均薪資,仟元,2020,941
S,員工薪資,薪資中位數,仟元,2020,804
S,員工薪資,平均薪資,仟元,2019,732
S,員工薪資,薪資中位數,仟元,2019,609
S,員工薪資,平均薪資,仟元,2018,729
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,33011908510
G,,資本額,元,2019,33011908510
G,營運狀況,營業收入,仟元,2020,19553306
G,營運狀況,營業成本,仟元,2020,14713779
G,營運狀況,營業費用,仟元,2020,2130575
G,營運狀況,淨利,仟元,2020,3835096
G,營運狀況,營業收入,仟元,2019,16337046
G,營運狀況,營業成本,仟元,2019,14467715
G,營運狀況,營業費用,仟元,2019,1735725
G,營運狀況,淨利,仟元,2019,781079
G,營運狀況,營業收入,仟元,2018,16866328
G,營運狀況,營業成本,仟元,2018,14049752
G,營運狀況,營業費用,仟元,2018,1903751
G,營運狀況,淨利,仟元,2018,1021164
G,營運狀況,營業收入,仟元,2017,23744460
G,營運狀況,營業成本,仟元,2017,15097747
G,營運狀況,營業費用,仟元,2017,2426981
G,營運狀況,淨利,仟元,2017,6708703
G,營運狀況,營業收入,仟元,2016,23925255
G,營運狀況,營業成本,仟元,2016,16939732
G,營運狀況,營業費用,仟元,2016,2330772
G,營運狀況,淨利,仟元,2016,4047364
