年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,3470702.6,104.27,2136894.03,99.2,1333808.57,113.57,
2019,3328594.96,100,2154158.55,100,1174436.41,100,
2018,3125992.83,93.91,2027898.47,94.14,1098094.36,93.5,
2017,2995422.79,89.99,1919264.28,89.1,1076158.51,91.63,
2016,2898874.46,87.09,1896107.22,88.02,1002767.24,85.38,
2015,2824541.48,84.86,1901699.53,88.28,922841.95,78.58,
2014,2737040.99,82.23,1853972.18,86.06,883068.81,75.19,
2013,1257320.41,37.77,1147067.75,53.25,110252.66,9.39,
2021,3629129.2,109.03,2209437.28,102.57,1419691.92,120.88,T
2022,3787555.81,113.79,2281980.53,105.93,1505575.28,128.2,T
2023,3945982.41,118.55,2354523.78,109.3,1591458.63,135.51,T
2024,4104409.01,123.31,2427067.03,112.67,1677341.98,142.82,T
2025,4262835.62,128.07,2499610.28,116.04,1763225.34,150.13,T
2026,4421262.22,132.83,2572153.53,119.4,1849108.69,157.45,T
2027,4579688.82,137.59,2644696.78,122.77,1934992.04,164.76,T
2028,4738115.43,142.35,2717240.03,126.14,2020875.4,172.07,T
2029,4896542.03,147.11,2789783.28,129.51,2106758.75,179.38,T
2030,5054968.63,151.86,2862326.53,132.87,2192642.1,186.7,T
2031,5213395.24,156.62,2934869.78,136.24,2278525.46,194.01,T
2032,5371821.84,161.38,3007413.03,139.61,2364408.81,201.32,T
2033,5530248.44,166.14,3079956.28,142.98,2450292.16,208.64,T
2034,5688675.05,170.9,3152499.53,146.34,2536175.52,215.95,T
2035,5847101.65,175.66,3225042.78,149.71,2622058.87,223.26,T
2036,6005528.25,180.42,3297586.03,153.08,2707942.22,230.57,T
2037,6163954.86,185.18,3370129.28,156.45,2793825.58,237.89,T
2038,6322381.46,189.94,3442672.53,159.82,2879708.93,245.2,T
2039,6480808.06,194.7,3515215.78,163.18,2965592.28,252.51,T
2040,6639234.67,199.46,3587759.03,166.55,3051475.64,259.82,T
2041,6797661.27,204.22,3660302.28,169.92,3137358.99,267.14,T
2042,6956087.87,208.98,3732845.53,173.29,3223242.34,274.45,T
2043,7114514.48,213.74,3805388.78,176.65,3309125.7,281.76,T
2044,7272941.08,218.5,3877932.03,180.02,3395009.05,289.08,T
2045,7431367.68,223.26,3950475.28,183.39,3480892.4,296.39,T
2046,7589794.29,228.02,4023018.53,186.76,3566775.76,303.7,T
2047,7748220.89,232.78,4095561.78,190.12,3652659.11,311.01,T
2048,7906647.49,237.54,4168105.03,193.49,3738542.46,318.33,T
2049,8065074.1,242.3,4240648.28,196.86,3824425.82,325.64,T
2050,8223500.7,247.06,4313191.53,200.23,3910309.17,332.95,T
