分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2005,34770.01
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2005,34770.01
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,128327.26
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,128327.26
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,120133.51
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,120133.51
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,135116.66
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,135116.66
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,152153.77
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,152153.77
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,139222.56
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,139222.56
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,132505.89
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,132505.89
S,員工薪資,平均薪資,仟元,2020,698
S,員工薪資,薪資中位數,仟元,2020,673
S,員工薪資,平均薪資,仟元,2019,765
S,員工薪資,薪資中位數,仟元,2019,736
S,員工薪資,平均薪資,仟元,2018,762
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,18905695180
G,,資本額,元,2019,18905695180
G,收入、成本與淨利,營業收入,仟元,2020,55421795
G,收入、成本與淨利,營業成本,仟元,2020,51270778
G,收入、成本與淨利,營業費用,仟元,2020,3017931
G,收入、成本與淨利,淨利,仟元,2020,517588
G,收入、成本與淨利,營業收入,仟元,2019,59687597
G,收入、成本與淨利,營業成本,仟元,2019,57138479
G,收入、成本與淨利,營業費用,仟元,2019,3444311
G,收入、成本與淨利,淨利,仟元,2019,-1700285
G,收入、成本與淨利,營業收入,仟元,2018,73856189
G,收入、成本與淨利,營業成本,仟元,2018,67944988
G,收入、成本與淨利,營業費用,仟元,2018,4452691
G,收入、成本與淨利,淨利,仟元,2018,264944
G,收入、成本與淨利,營業收入,仟元,2017,71158662
G,收入、成本與淨利,營業成本,仟元,2017,64859279
G,收入、成本與淨利,營業費用,仟元,2017,4088009
G,收入、成本與淨利,淨利,仟元,2017,1345310
G,收入、成本與淨利,營業收入,仟元,2016,52847410
G,收入、成本與淨利,營業成本,仟元,2016,45641051
G,收入、成本與淨利,營業費用,仟元,2016,3362322
G,收入、成本與淨利,淨利,仟元,2016,2378545
