年份,Tot數值,Tot變化,是承諾值
2013,429407.85,53.99,
2014,452871.57,56.94,
2015,724596.45,91.1,
2016,661282.84,83.14,
2017,709907.08,89.26,
2018,858206.81,107.9,
2019,795357.3,100,
2020,805634.72,101.29,
2021,682094.65,85.76,T
2022,672787.32,84.59,T
2023,663479.98,83.42,T
2024,654172.65,82.25,T
2025,644865.31,81.08,T
2026,635557.98,79.91,T
2027,626250.64,78.74,T
2028,616943.31,77.57,T
2029,607635.97,76.4,T
2030,598328.64,75.23,T
