年份,Tot數值,Tot變化,是推估值
2019,970000,100,
2020,967983.33,99.79,T
2021,965966.67,99.58,T
2022,963950,99.38,T
2023,961933.33,99.17,T
2024,959916.67,98.96,T
2025,957900,98.75,
