年份,Tot數值,Tot變化,是承諾值
2014,196134.4,96.43,
2015,206386.69,101.48,
2016,208856.75,102.69,
2017,207776.97,102.16,
2018,216287.78,106.34,
2019,203386.34,100,
2020,157433.65,77.41,
2021,155507.12,76.46,T
2022,152333.5,74.9,T
2023,149159.89,73.34,T
2024,145986.27,71.78,T
2025,142812.66,70.22,T
2026,139639.04,68.66,T
2027,136465.43,67.1,T
2028,133291.81,65.54,T
2029,130118.2,63.98,T
2030,126944.58,62.42,T
2031,123770.97,60.86,T
2032,120597.35,59.29,T
2033,117423.74,57.73,T
2034,114250.13,56.17,T
2035,111076.51,54.61,T
2036,107902.9,53.05,T
2037,104729.28,51.49,T
2038,101555.67,49.93,T
2039,98382.05,48.37,T
2040,95208.44,46.81,T
2041,92034.82,45.25,T
2042,88861.21,43.69,T
2043,85687.59,42.13,T
2044,82513.98,40.57,T
2045,79340.37,39.01,T
2046,76166.75,37.45,T
2047,72993.14,35.89,T
2048,69819.52,34.33,T
2049,66645.91,32.77,T
2050,63472.29,31.21,T
