分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,773
S,員工薪資,薪資中位數,仟元,2020,698
S,員工薪資,平均薪資,仟元,2019,797
S,員工薪資,薪資中位數,仟元,2019,694
S,員工薪資,平均薪資,仟元,2018,717
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1966742000
G,,資本額,元,2019,1966742000
G,收入、成本與淨利,營業收入,仟元,2020,1375687
G,收入、成本與淨利,營業成本,仟元,2020,998201
G,收入、成本與淨利,營業費用,仟元,2020,269746
G,收入、成本與淨利,淨利,仟元,2020,133115
G,收入、成本與淨利,營業收入,仟元,2019,1763659
G,收入、成本與淨利,營業成本,仟元,2019,1339117
G,收入、成本與淨利,營業費用,仟元,2019,284811
G,收入、成本與淨利,淨利,仟元,2019,233879
G,收入、成本與淨利,營業收入,仟元,2018,1650740
G,收入、成本與淨利,營業成本,仟元,2018,1303626
G,收入、成本與淨利,營業費用,仟元,2018,322843
G,收入、成本與淨利,淨利,仟元,2018,86910
G,收入、成本與淨利,營業收入,仟元,2017,1972727
G,收入、成本與淨利,營業成本,仟元,2017,1502698
G,收入、成本與淨利,營業費用,仟元,2017,344936
G,收入、成本與淨利,淨利,仟元,2017,184551
G,收入、成本與淨利,營業收入,仟元,2016,2168224
G,收入、成本與淨利,營業成本,仟元,2016,1745764
G,收入、成本與淨利,營業費用,仟元,2016,332977
G,收入、成本與淨利,淨利,仟元,2016,152628
