year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,1307,塑膠工業,519.0,440305.0,848.0,808.0,1.91,1175.0,0.68,True,True,True,"本公司主要生產人工皮革,鞋材佔比約90%,因112年大型賽事展開,及上游原料成本的低檔維持,助益EPS較去年同期成長約62%,本公司亦考量通貨膨漲調整員工薪資,非擔任主管職務之員工薪資平均數較去年同期成長約16%。"
2023,1308,塑膠工業,220.0,282238.0,1283.0,1199.0,0.2,1175.0,0.68,True,True,True,公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效等綜合考量後，在法遵前提下並考量外部競爭及內部衡平性，發給年終獎金及進行年度調薪。
2023,1309,塑膠工業,351.0,361909.0,1031.0,968.0,-0.69,1175.0,0.68,True,True,True,
2023,1310,塑膠工業,187.0,170572.0,912.0,799.0,-0.88,1175.0,0.68,True,True,True,
2023,1312,塑膠工業,366.0,326204.0,891.0,798.0,-1.59,1175.0,0.68,True,True,True,
2023,1313,塑膠工業,214.0,263811.0,1233.0,1127.0,-0.21,1175.0,0.68,True,True,True,
2023,1314,塑膠工業,1133.0,861304.0,760.0,699.0,-0.28,1175.0,0.68,True,True,True,
2023,1315,塑膠工業,338.0,210898.0,624.0,558.0,3.66,1175.0,0.68,True,True,True,1.依學經歷、職等、貢獻度及勞基法規範核薪，並逐年依公司營運及獲利情況調整。2.營業項目塑膠製品60.74%3.外籍員工占全體員工13.91%4.上述說明，成長優於同業、較同業標準低，均屬合理。
2023,1316,建材營造,24.0,17260.0,719.0,541.0,-0.68,905.0,2.16,True,True,True,
2023,1319,汽車工業,3294.0,2463401.0,748.0,630.0,5.1,882.0,6.4,True,True,True,
2023,1321,塑膠工業,447.0,341652.0,764.0,710.0,0.88,1175.0,0.68,True,True,True,"111年度、112年度薪資總額356,693仟元、341,652仟元，112年度減少15,041仟元，主要原因是：110年度有獲利於111年發放員工紅利6,108仟元；111年度虧損故112年度無員工紅利，春節年終獎金也比111年少發5,047仟元。"
