year,stock_code,title,shareholder,shareholding_initial,shareholding_current,pledge,pledge_pp,others_shareholding_total,others_pledge,others_pledge_pp
2023,8937,總經理本人,陳忠森,0,100000,0,0.0,0,0,0.0
2023,8937,協理本人,高以仁,0,660000,0,0.0,0,0,0.0
2023,8937,大股東本人,謝菁菁,0,10080000,0,0.0,0,0,0.0
2023,8937,大股東本人,友屹投資股份有限公司,0,7298000,0,0.0,0,0,0.0
2023,8937,財務部門主管本人,余滄斌,0,0,0,0.0,0,0,0.0
2023,8937,會計部門主管本人,余滄斌,0,0,0,0.0,0,0,0.0
2023,3491,董事長本人,岑昕投資股份有限公司,4403856,4083856,1400000,0.3428,0,0,0.0
2023,3491,董事長之法人代表人,陳淑敏,0,112585,0,0.0,319132,0,0.0
2023,3491,董事本人,吳東義,235132,319132,0,0.0,112585,0,0.0
2023,3491,董事本人,品鑫投資股份有限公司,467000,467000,0,0.0,0,0,0.0
2023,3491,董事之法人代表人,郭俊良,0,481564,0,0.0,467000,0,0.0
2023,3491,董事本人,何冀瑞,903109,903109,0,0.0,0,0,0.0
2023,3491,獨立董事本人,陳興義,0,0,0,0.0,0,0,0.0
2023,3491,獨立董事本人,陳貫平,0,0,0,0.0,0,0,0.0
2023,3491,獨立董事本人,蔡志瑋,0,0,0,0.0,0,0,0.0
2023,3491,獨立董事本人,林淑鈴,0,0,0,0.0,200,0,0.0
2023,3491,總經理本人,吳東義,0,319132,0,0.0,112585,0,0.0
2023,3491,副總經理本人,郭俊良,0,481564,0,0.0,467000,0,0.0
2023,3491,副總經理本人,陳重光,0,20000,0,0.0,42397,42397,1.0
2023,3491,副總經理本人,賀珮,0,0,0,0.0,7000,0,0.0
2023,3491,副總經理本人,陳右政,0,321767,0,0.0,0,0,0.0
2023,3491,副總經理本人,陳俊明,0,308277,0,0.0,6819,0,0.0
2023,3491,協理本人,何文松,0,0,0,0.0,0,0,0.0
2023,3491,協理本人,連浪,0,114120,0,0.0,0,0,0.0
2023,3491,財務部門主管本人,李樹影,0,16000,0,0.0,0,0,0.0
2023,3491,會計部門主管本人,李樹影,0,16000,0,0.0,0,0,0.0
2023,3533,董事長本人,嘉明投資股份有限公司,9797037,9797037,0,0.0,0,0,0.0
2023,3533,董事長之法人代表人,朱德祥,0,27920,0,0.0,2962580,0,0.0
2023,3533,董事本人,嘉明投資股份有限公司,9797037,9797037,0,0.0,0,0,0.0
2023,3533,董事之法人代表人,何德佑,0,473899,0,0.0,5000000,0,0.0
2023,3533,董事本人,謝佳穎,0,0,0,0.0,0,0,0.0
2023,3533,董事本人,曲建仲,0,0,0,0.0,0,0,0.0
2023,3533,獨立董事本人,王仁君,0,0,0,0.0,0,0,0.0
2023,3533,獨立董事本人,江毅成,0,0,0,0.0,0,0,0.0
2023,3533,獨立董事本人,吳章秀,0,0,0,0.0,0,0,0.0
2023,3533,總經理本人,何德佑,0,473899,0,0.0,5000000,0,0.0
2023,3533,副總經理本人,龔永生,0,21155,0,0.0,0,0,0.0
2023,3533,副總經理本人,蔡明叡,0,3051,0,0.0,0,0,0.0
2023,3533,副總經理本人,李正文,0,3000,0,0.0,0,0,0.0
2023,3533,協理本人,朱陳一慧,0,11192,0,0.0,27920,0,0.0
2023,3533,協理本人,林存德,0,4500,0,0.0,0,0,0.0
2023,3533,協理本人,林清浩,0,2009,0,0.0,0,0,0.0
2023,3533,協理本人,劉啟弘,0,8500,0,0.0,0,0,0.0
2023,3533,協理本人,林耀清,0,100,0,0.0,0,0,0.0
2023,3533,協理本人,吳宜臻,0,3577,0,0.0,203,0,0.0
2023,3533,協理本人,張文昌,0,0,0,0.0,0,0,0.0
2023,3533,協理本人,林克倫,0,0,0,0.0,0,0,0.0
2023,3533,協理本人,侯智祥,0,4750,0,0.0,0,0,0.0
2023,3533,經理本人,翁坤堂,0,0,0,0.0,0,0,0.0
2023,3533,財務部門主管本人,梁世宜,0,0,0,0.0,0,0,0.0
2023,3533,會計部門主管本人,劉興夏,0,0,0,0.0,0,0,0.0
2023,1734,董事長本人,李志文,3149791,3149791,0,0.0,1799725,0,0.0
2023,1734,副董事長本人,杏達投資股份有限公司,15470464,15679464,0,0.0,0,0,0.0
2023,1734,副董事長之法人代表人,李易達,0,640116,0,0.0,665361,0,0.0
2023,1734,董事本人,郭修吉,2064382,1569382,0,0.0,437555,0,0.0
2023,1734,董事本人,趙令模,1498547,1489547,0,0.0,271000,0,0.0
2023,1734,董事本人,林修民,1336876,1336876,0,0.0,54288,0,0.0
2023,1734,董事本人,林鴻志,1000128,1000128,0,0.0,0,0,0.0
2023,1734,董事本人,官政哲,0,0,0,0.0,13000,0,0.0
2023,1734,董事本人,游能俊,999763,999763,0,0.0,51095,0,0.0
2023,1734,獨立董事本人,李金龍,0,0,0,0.0,0,0,0.0
2023,1734,獨立董事本人,鄒馨瑀,0,0,0,0.0,0,0,0.0
2023,1734,獨立董事本人,溫耀源,0,0,0,0.0,0,0,0.0
2023,1734,總經理本人,白友烺,0,60283,0,0.0,0,0,0.0
2023,1734,副總經理本人,游能盈,0,1540944,0,0.0,323688,0,0.0
2023,1734,副總經理本人,楊如年,0,665361,0,0.0,640116,0,0.0
2023,1734,副總經理本人,陳章龍,0,412,0,0.0,0,0,0.0
2023,1734,副總經理本人,李易達,0,640116,0,0.0,665361,0,0.0
2023,1734,副總經理本人,游能育,0,592077,0,0.0,29360,0,0.0
2023,1734,副總經理本人,黃文鑫,0,0,0,0.0,0,0,0.0
2023,1734,經理本人,王昭日,0,2000,0,0.0,3785,0,0.0
2023,1734,協理本人,張豐欽,0,2000,0,0.0,0,0,0.0
2023,1734,協理本人,黃文芳,0,188,0,0.0,0,0,0.0
2023,1734,協理本人,林千茹,0,744380,0,0.0,0,0,0.0
2023,1734,協理本人,樓怡美,0,153138,0,0.0,7280,0,0.0
2023,1734,協理本人,張智超,0,887,0,0.0,0,0,0.0
2023,1734,協理本人,張建國,0,2000,0,0.0,0,0,0.0
2023,1734,協理本人,王惠弘,0,0,0,0.0,10000,0,0.0
2023,1734,大股東本人,杏達投資股份有限公司,0,15679464,0,0.0,0,0,0.0
2023,1734,財務部門主管本人,陳至孝,0,7000,0,0.0,0,0,0.0
2023,1734,會計部門主管本人,謝麗容,0,46680,0,0.0,525,0,0.0
2023,6753,董事長本人,黃守真,5302350,6495378,0,0.0,770068,0,0.0
2023,6753,董事本人,黃守龍,1473850,1812466,0,0.0,113250,0,0.0
2023,6753,董事本人,董適光,30000,43750,0,0.0,0,0,0.0
2023,6753,董事本人,林芷芳,1184563,1451089,0,0.0,11900,0,0.0
2023,6753,董事本人,曾瑞澤,0,0,0,0.0,0,0,0.0
2023,6753,董事本人,行政院國家發展基金管理會,6274857,7686699,0,0.0,0,0,0.0
2023,6753,董事之法人代表人,毛振泰,0,0,0,0.0,0,0,0.0
2023,6753,獨立董事本人,王克旋,0,0,0,0.0,0,0,0.0
2023,6753,獨立董事本人,邱晃泉,0,0,0,0.0,0,0,0.0
2023,6753,獨立董事本人,朱建州,0,0,0,0.0,0,0,0.0
2023,6753,總經理本人,黃守龍,0,1812466,0,0.0,113250,0,0.0
2023,6753,副總經理本人,董適光,0,43750,0,0.0,0,0,0.0
2023,6753,副總經理本人,江清華,0,1029000,0,0.0,2000,0,0.0
2023,6753,副總經理本人,蔡明宏,0,11900,0,0.0,1451089,0,0.0
