"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"B0102725","興農股份有限公司王田二廠",51911712,"臺中市大肚區南榮路一○九號、臺中市烏日區南榮路５７號",24.1136515,120.5675862
"B0206273","崧煌實業股份有限公司",27515847,"臺中市龍井區西濱路三段５５號",24.2115203,120.5195075
"B0300436","生發化學生技股份有限公司",84597904,"臺中市霧峰區北柳里霧工三路１１號",24.0614676,120.6782087
"B0300936","金佑發企業股份有限公司",80476843,"臺中市霧峰區北柳里霧工三路１３號",24.0613794,120.6782191
"B0300954","金佑發企業股份有限公司",80476843,"臺中市霧峰區北柳里霧工三路１３號１、２、３樓",24.0613794,120.6782191
"B0304069","甘農股份有限公司-土壤污染應變必要措施計畫",55892878,"臺中市霧峰區五福路５５７號",24.084472,120.654062
"B0400744","新昌複合材料股份有限公司",28401738,"臺中市太平區德隆里工業二十路８２號１樓",24.107784,120.720307
"B0500472","孟鄉生化科技股份有限公司二廠",52907151,"臺中市大里區東湖里中興路一段１巷１弄２之１號３、４樓",24.0795465,120.6977348
"B0508503","孟鄉生化科技股份有限公司三廠",52907151,"臺中市大里區仁化里仁化路６９４號１樓",24.0965279,120.6984703
"B19A1847","誠吉科技有限公司",53268890,"臺中市東區東門里天乙街１４０巷３２號１樓",24.1247881,120.6955827
"B2300096","力寶化工廠股份有限公司",55879559,"臺中市西屯區協和里工業區九路１８號",24.170929,120.601154
"B2300112","三福氣體股份有限公司台中廠",11072509,"臺中市西屯區協和里工業區三路９號",24.1630783,120.6090675
"B2301584","三櫻企業股份有限公司",51074905,"臺中市西屯區台中港路三段８９之２０號",24.173493,120.637225
"B2302241","台氟科技股份有限公司",97590122,"臺中市西屯區協和里工業區七路２８號",24.1663315,120.6036752
"B2302723","宏全國際股份有限公司台中廠",58176511,"臺中市西屯區協和里工業區二路６號",24.1683107,120.6120321
"B2303319","大東樹脂化學股份有限公司台中廠",51008069,"臺中市西屯區工業區三四路３５號",24.1769764,120.6424333
"B2308994","頌勝化學工業股份有限公司台中工業區廠",22231552,"臺中市西屯區協和里工業區一四路２號",24.1691515,120.6083428
"B2309240","時慶實業股份有限公司台中工業區廠",86085668,"臺中市西屯區協和里工業區三十三路１４號１樓",24.1658381,120.5935529
"B2312952","吉祥資源科技股份有限公司",28321679,"臺中市西屯區協和里工業區三十三路１７之１號",24.1725574,120.5956884
"B2313762","宏全國際股份有限公司台中二廠",58176511,"臺中市西屯區協和里工業區二路７號",24.1691943,120.6125534
"B23A5932","達興材料股份有限公司中科廠",28357108,"臺中市西屯區科園一路１５號",24.2057057,120.6081895
"B23A7463","友達晶材股份有限公司台中廠",24410807,"臺中市西屯區科雅路３號",24.2337858,120.6346726
"B23B0563","大東樹脂化學股份有限公司",51008069,"臺中市西屯區工業區三十四路３５號",24.1678227,120.5928388
"B23B0761","宏全國際股份有限公司",58176511,"臺中市西屯區協和里工業區二路６號",24.1683107,120.6120321
