App_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,Sicname1,CO2,CH4,N2O,HFCs,PFCs,SF6,nf3,Tot2,tot,cause,Check_yn
105,75370905,南亞塑膠工業股份有限公司海豐總廠,0001,P5805244,雲林縣,麥寮鄉,雲林縣麥寮鄉台塑工業園區42號、47號、52號,1810,基本化學材料製造業,350342.93,734.87,36.53,701.27,0.00,11.40,0.00,1159923.72,1511750.72,依法申報,是
105,75280209,東和鋼鐵企業股份有限公司桃園廠,0004,H53A0675,桃園市,觀音區,桃園市觀音區保障里8鄰草漯116號,2411,鋼鐵冶鍊業,41395.10,6.19,21.63,0.00,0.00,0.00,0.00,248194.95,289617.88,依法申報,是
105,75280209,東和鋼鐵企業股份有限公司高雄廠,0002,E5600369,高雄市,小港區,高雄市小港區嘉興街八號,2413,鋼鐵軋延及擠型業,20552.04,29.05,15.62,11.28,0.00,0.00,0.00,12111.98,32719.96,依法申報,是
105,75280209,東和鋼鐵企業股份有限公司苗栗廠,0001,K8100129,苗栗縣,西湖鄉,苗栗縣西湖鄉二湖村7鄰坪頂22號,2411,鋼鐵冶鍊業,112337.31,123.97,158.06,2.63,0.00,0.00,0.00,226323.03,338945.00,依法申報,是
105,73686632,得力實業股份有限公司,0000,R0300606,台南市,新市區,台南市新市區三舍里240號,1140,印染整理業,39343.98,30.89,176.39,1.76,0.00,0.00,0.00,29446.60,68999.62,依法申報,是
105,73252657,統一實業股份有限公司二廠,0001,R1412418,台南市,永康區,台南市永康區和平路77號,2549,其他金屬加工處理業,45911.25,63.48,24.97,8.35,0.00,0.00,0.00,94662.12,140670.17,依法申報,是
105,72065240,官田鋼鐵股份有限公司官田廠,0001,R9701850,台南市,官田區,台南市官田區南廍里南廍119-5號,2413,鋼鐵軋延及擠型業,29425.59,31.68,69.79,0.00,0.00,0.00,0.00,22722.45,52249.51,依法申報,是
105,70833553,國光電力股份有限公司,0001,H4810799,桃園市,龜山區,桃園市龜山區南上里北油一區11號,3510,電力供應業,758280.73,364.62,403.58,183.74,0.00,0.00,0.00,2723.59,761956.27,依法申報,是
105,70783765,星能電力股份有限公司,0001,N1504207,彰化縣,線西鄉,彰化縣線西鄉彰濱工業區線工南二路二號,3510,電力供應業,806749.76,393.42,429.12,30.66,0.00,0.00,0.00,4902.77,812505.74,依法申報,是
105,70783499,森霸電力公司豐德電廠,0001,R0503072,台南市,山上區,臺南市山上區豐德里隙子口66號,3510,電力供應業,1551706.28,902.95,824.89,13.35,0.00,0.00,0.00,5785.77,1559233.25,依法申報,是
105,70783006,華亞汽電股份有限公司觀音公用廠,0002,H53A2562,桃園市,觀音區,桃園市觀音區觀音工業區工業七路三號,3530,蒸汽供應業,208939.96,60.89,987.54,0.00,0.00,0.00,0.00,1747.82,211736.20,依法申報,是
105,70783006,華亞汽電股份有限公司華亞汽電廠,0001,H4810851,桃園市,龜山區,桃園市龜山區文化里華亞一路九八號,3510,電力供應業,2105773.12,570.50,9939.31,1.77,0.00,478.80,0.00,50154.28,2166917.78,依法申報,是
105,70752257,穩懋半導體股份有限公司華亞二廠,0002,H4886999,桃園市,龜山區,桃園市龜山區文化里華亞二路358號與科技七路35號及35號2樓、3樓、4樓,2611,積體電路製造業,1310.83,99.41,177.52,171.60,30269.87,410.40,0.00,51313.68,83753.32,依法申報,是
105,70752257,穩懋半導體股份有限公司華亞廠,0001,H4806348,桃園市,龜山區,桃園市龜山區文化里科技七路69號,2611,積體電路製造業,272.99,33.60,64.61,10.01,12321.97,0.00,0.00,23488.21,36191.39,依法申報,是
105,70584724,旭硝子顯示玻璃股份有限公司斗六二廠,0002,P46A0693,雲林縣,斗六市,雲林縣斗六市虎溪里科工八路八號,2311,平板玻璃及其製品製造業,77658.08,78.93,41.81,99.16,0.00,1140.00,0.00,145273.98,224291.96,依法申報,是
105,70584724,旭硝子顯示玻璃股份有限公司斗六一廠,0001,P4606327,雲林縣,斗六市,雲林縣斗六市虎溪里科工七路八號,2311,平板玻璃及其製品製造業,40344.96,113.31,62.07,1198.94,0.00,684.00,0.00,113619.19,156022.48,依法申報,是
105,97170472,全新光電科技股份有限公司平鎮廠,0001,h5103604,桃園市,平鎮區,桃園市平鎮區工業一路16號,2649,其他光電材料及元件製造業,2.61,17.75,1.13,40.04,19.21,727.32,0.00,9447.94,10256.01,依法申報,是
105,96976990,嘉惠電力(股)有限公司,0001,Q6907286,嘉義縣,民雄鄉,嘉義縣民雄鄉松山村4鄰松子腳688號,3510,電力供應業,887506.54,400.56,471.76,0.00,0.00,0.00,0.00,10619.69,898998.55,依法申報,是
105,96975970,麥寮汽電股份有限公司,11A0,P5801719,雲林縣,麥寮鄉,雲林縣麥寮鄉中興村台塑工業園區7號,3510,電力供應業,11228955.38,3003.55,52864.16,0.72,0.00,2086.20,0.00,0.00,11286910.00,依法申報,是
