year,stock_code,total_operating_revenue,total_operating_costs,total_operating_expenses,net_operating_income,profit_or_loss,total_comprehensive_income,total_assets
2023,1101,109314335.0,88780566.0,10503609.0,10030160.0,10004613.0,7470173.0,469438522.0
2023,1102,80182799.0,69745612.0,2977139.0,7460048.0,11084110.0,13781281.0,336726851.0
2023,1103,2911583.0,2545152.0,513955.0,-147524.0,96038.0,577688.0,36464334.0
2023,1104,7802362.0,6260222.0,567729.0,974411.0,2347252.0,2170926.0,28189560.0
2023,1108,5094743.0,4211831.0,272879.0,612361.0,527136.0,488826.0,9969873.0
2023,1109,6259864.0,4918790.0,351782.0,989292.0,807587.0,717640.0,11563170.0
2023,1110,2273518.0,2069639.0,144501.0,59378.0,156053.0,355559.0,11821562.0
2023,1111,425984.0,311269.0,63912.0,50803.0,77706.0,83927.0,1418625.0
2023,1201,21476354.0,15672351.0,5482953.0,321050.0,269516.0,180895.0,18027715.0
2023,1203,6403713.0,4537602.0,1010856.0,855255.0,657718.0,735864.0,10112427.0
2023,1210,111108929.0,96148202.0,8940447.0,6020280.0,4803465.0,4485950.0,64827616.0
2023,1213,120702.0,215158.0,47458.0,-141914.0,-138689.0,-138688.0,819325.0
2023,1215,29159749.0,24157745.0,2112580.0,2927334.0,2256436.0,1773571.0,27369797.0
2023,1216,581102935.0,393289237.0,159172864.0,28640834.0,30286149.0,28207961.0,665879318.0
2023,1217,4900038.0,3486325.0,1284939.0,128774.0,217600.0,255704.0,14021710.0
2023,1218,11228425.0,9678785.0,1618100.0,-62566.0,-80635.0,-206618.0,13679164.0
2023,1219,16313623.0,14824093.0,1136425.0,357158.0,330790.0,328193.0,10185478.0
2023,1220,3293888.0,2855797.0,275565.0,162526.0,157815.0,159119.0,3196028.0
2023,1225,14543809.0,13483212.0,640697.0,463084.0,409202.0,407611.0,8720522.0
2023,1227,27804118.0,21514418.0,4929299.0,1360401.0,1268152.0,1012773.0,25725611.0
2023,1231,10853256.0,8571068.0,1372339.0,909849.0,969655.0,966429.0,13008212.0
2023,1232,23560347.0,21035103.0,1003741.0,1521503.0,1253741.0,1256421.0,8180321.0
2023,1233,2110338.0,888046.0,1120372.0,101920.0,95869.0,77470.0,2373995.0
2023,1234,10576476.0,7610784.0,2247716.0,717976.0,948447.0,1022952.0,22759997.0
2023,1235,75719.0,54761.0,26195.0,-5237.0,85030.0,383082.0,4321478.0
2023,1236,1929953.0,1392477.0,524282.0,13194.0,15690.0,-196319.0,3828973.0
2023,1237,30187223.0,23578688.0,4329600.0,2232674.0,4487484.0,4061976.0,663746843.0
2023,1242,3748386.0,1976855.0,1752852.0,18679.0,73389.0,315292.0,5496269.0
2023,1246,11335270.0,10982734.0,149775.0,202761.0,160645.0,161400.0,2570894.0
2023,1260,5196201.0,4418440.0,488729.0,289032.0,204407.0,195910.0,4973656.0
2023,1271,571111.0,334202.0,186427.0,50482.0,44423.0,43745.0,3655459.0
2023,1301,199138777.0,189312319.0,13854977.0,-4028519.0,7337709.0,16433108.0,530738356.0
2023,1303,259755344.0,240519344.0,17242451.0,1983852.0,8110047.0,10570497.0,648527953.0
2023,1305,13707305.0,12030536.0,1216914.0,459855.0,393674.0,357140.0,17750232.0
2023,1307,10086736.0,7561009.0,1538652.0,987075.0,760274.0,778956.0,15630971.0
2023,1308,6717128.0,5571131.0,222161.0,923836.0,116284.0,-159448.0,15011689.0
2023,1310,9541182.0,9952545.0,199149.0,-610512.0,-460659.0,557478.0,9763204.0
2023,1312,15719189.0,15270890.0,1540303.0,-1092004.0,-1456876.0,-1935283.0,61968407.0
2023,1313,73196046.0,70988639.0,2404918.0,-197511.0,-282826.0,4120447.0,55656669.0
2023,1314,26414254.0,27502519.0,1962399.0,-3050664.0,-1081266.0,-754045.0,145705475.0
2023,1315,2157193.0,1804934.0,337917.0,14342.0,350507.0,558434.0,11342819.0
2023,1319,23858806.0,16725244.0,3389282.0,3744280.0,3047280.0,3200912.0,35046182.0
2023,1321,4914556.0,4500918.0,378685.0,34953.0,193134.0,280206.0,11931695.0
2023,1323,3308875.0,2669405.0,426964.0,212506.0,179294.0,156364.0,5434520.0
2023,1324,921410.0,724365.0,156317.0,40728.0,39457.0,32529.0,1211649.0
2023,1325,405763.0,406138.0,48085.0,-48460.0,12739.0,23323.0,2971965.0
2023,1326,332619533.0,321195091.0,14474686.0,-3050244.0,7704942.0,18071963.0,565870368.0
2023,1328,1103468528.0,1092808858.0,24086870.0,-13427200.0,-20451713.0,-17731909.0,1052767559.0
2023,1336,2316598.0,1927079.0,227428.0,162091.0,107390.0,61912.0,2634745.0
2023,1339,2051209.0,1361742.0,287604.0,401863.0,432464.0,448784.0,5418700.0
2023,1342,2564771.0,1731277.0,218132.0,615362.0,529789.0,529789.0,3251016.0
2023,1402,257203940.0,210142695.0,32916545.0,14972682.0,15319488.0,20572555.0,671417612.0
2023,1408,5313604.0,4934230.0,640258.0,-260884.0,-492119.0,-487206.0,5630795.0
2023,1409,39565140.0,,3959576.0,,1169574.0,2949949.0,195043528.0
2023,1410,222213.0,161964.0,74729.0,-14480.0,13119.0,14004.0,1332600.0
2023,1413,1995376.0,2074211.0,57362.0,-136197.0,-132786.0,-132786.0,2344217.0
2023,1414,566660.0,525967.0,77985.0,-37292.0,32849.0,100269.0,4491146.0
2023,1417,1496178.0,996724.0,579719.0,-80265.0,-69476.0,-45412.0,3582228.0
2023,1419,3382945.0,2389671.0,633530.0,359744.0,648948.0,1850806.0,18544177.0
2023,1423,124185.0,163128.0,31767.0,-70710.0,70533.0,288018.0,3144859.0
2023,1434,28501509.0,25971071.0,2249802.0,280636.0,444554.0,1110283.0,71664782.0
2023,1436,1628411.0,263027.0,271278.0,1094106.0,940080.0,943629.0,15067556.0
2023,1440,19445212.0,18844889.0,1852812.0,-1252489.0,2190730.0,2506121.0,51842418.0
2023,1441,1157753.0,1307719.0,161451.0,-311417.0,-332876.0,-333406.0,1913787.0
2023,1443,780755.0,419321.0,98182.0,263252.0,142728.0,271275.0,7026669.0
2023,1444,8149113.0,8210127.0,539918.0,-590313.0,-315064.0,-176513.0,19110669.0
2023,1445,1381718.0,1196069.0,261361.0,-75712.0,1008381.0,1073634.0,3104498.0
2023,1446,573294.0,332333.0,95436.0,145525.0,109953.0,108194.0,4631573.0
2023,1447,29669737.0,29438180.0,829539.0,-598781.0,-433294.0,-284513.0,19041692.0
2023,1449,2656752.0,2256826.0,413655.0,-13729.0,75401.0,97395.0,6106519.0
2023,1451,6358816.0,6370043.0,438697.0,-449924.0,-362912.0,-279643.0,8036191.0
2023,1452,1199265.0,1160614.0,101170.0,-62519.0,52162.0,141827.0,2897992.0
2023,1453,203872.0,138957.0,47255.0,17660.0,60769.0,60769.0,2071036.0
2023,1454,1513543.0,1374396.0,161307.0,-22792.0,19537.0,31158.0,2041439.0
2023,1455,7740588.0,7889709.0,365951.0,-515072.0,-240156.0,-230226.0,10309364.0
2023,1456,1684895.0,1122215.0,183024.0,397656.0,5084.0,5147.0,11945704.0
2023,1457,3120655.0,2913324.0,212101.0,1416853.0,1080606.0,1131072.0,20481813.0
2023,1459,1203763.0,1360551.0,115733.0,-272521.0,23535.0,-25086.0,4590079.0
2023,1460,7838642.0,7532944.0,1343147.0,-1032177.0,-1211972.0,-1186905.0,12346273.0
2023,1463,347508.0,331750.0,70684.0,-54926.0,107302.0,122396.0,2939857.0
2023,1464,9830034.0,8280635.0,1633161.0,-114431.0,115910.0,75335.0,15097892.0
2023,1465,582365.0,511304.0,75355.0,-4294.0,57680.0,57334.0,1946449.0
2023,1466,2453671.0,2372858.0,235394.0,-154581.0,-151349.0,-152323.0,3440577.0
2023,1467,4555351.0,3785652.0,951294.0,-181595.0,-165251.0,-308963.0,8266801.0
2023,1468,1052893.0,976062.0,135519.0,-58688.0,55983.0,34099.0,2774065.0
2023,1470,655221.0,525403.0,96468.0,34444.0,49346.0,50931.0,1145425.0
2023,1471,256642.0,225330.0,116196.0,-84884.0,-43173.0,-82800.0,1655589.0
2023,1473,6508300.0,5345401.0,876542.0,286357.0,311469.0,306953.0,5434361.0
2023,1474,2685726.0,2474942.0,302551.0,-91767.0,-43378.0,-57120.0,3765003.0
2023,1476,30790462.0,21111381.0,3130231.0,6548850.0,5176467.0,5192855.0,31832735.0
2023,1477,32458726.0,24092380.0,3526658.0,4839688.0,4035011.0,4012214.0,24875741.0
2023,1480,8943512.0,8982949.0,181278.0,-220715.0,-312011.0,-310943.0,6246759.0
2023,1504,59393661.0,44451003.0,8278338.0,6663252.0,6332032.0,3825854.0,127313790.0
2023,1506,1140720.0,955984.0,125790.0,58946.0,88549.0,67070.0,3177920.0
2023,1513,22144872.0,15725953.0,2032422.0,4386497.0,1585444.0,2806419.0,44170561.0
2023,1514,9483392.0,7797516.0,748901.0,937311.0,767361.0,633814.0,11234821.0
2023,1515,6708461.0,5592241.0,636369.0,479851.0,311039.0,312914.0,9212885.0
2023,1517,1892415.0,1841625.0,359300.0,-308510.0,-158341.0,-149567.0,4512369.0
2023,1519,13899740.0,9565721.0,1480437.0,2853582.0,2561785.0,2519695.0,15246768.0
2023,1521,4817004.0,4103898.0,514937.0,198486.0,42410.0,32936.0,3356798.0
2023,1522,19277545.0,14109060.0,3421541.0,1746944.0,1156369.0,1008577.0,25830681.0
2023,1524,2697553.0,1968591.0,293312.0,435650.0,351560.0,337148.0,5332102.0
2023,1525,1598496.0,1417745.0,115358.0,65393.0,403823.0,318645.0,5751786.0
2023,1526,995162.0,708034.0,256447.0,30681.0,45501.0,49793.0,2673082.0
2023,1527,2784110.0,2103375.0,320990.0,359745.0,370403.0,362977.0,5288545.0
2023,1528,3883131.0,2912185.0,981725.0,-10779.0,-29747.0,15368.0,5556368.0
2023,1529,752370.0,594290.0,63531.0,94502.0,144955.0,147123.0,3137634.0
2023,1530,2361917.0,2002794.0,325913.0,33000.0,190306.0,173949.0,5961891.0
2023,1531,1420562.0,1217317.0,308563.0,-105318.0,14025.0,-9298.0,4167691.0
2023,1532,17619443.0,13501665.0,2406443.0,1711335.0,1309542.0,1105135.0,54149589.0
