公司名稱,統一編號,RegistrationNo,FacilityName
中國石油化學工業開發股份有限公司,03084741,E54A3388,中國石油化學工業開發股份有限公司-前鎮廠土壤污染整治工程
中國石油化學工業開發股份有限公司,03084741,E56B2901,中國石油化學工業開發股份有限公司
中國石油化學工業開發股份有限公司,03084741,E2301234,中國石油化學工業開發股份有限公司
中國製釉股份有限公司,47056834,J5800861,中國製釉股份有限公司
中國製釉股份有限公司,47056834,K7000960,中國製釉股份有限公司苗栗廠
中國熱處理工業股份有限公司,52484907,H4300761,中國熱處理工業股份有限公司
中清開發有限公司,25022229,H44A2444,中清開發有限公司
中勤實業股份有限公司,22907106,H48B6176,中勤實業股份有限公司
中興紡織廠股份有限公司,35082604,A45B2019,中興紡織廠股份有限公司
中興紡織廠股份有限公司,35082604,H4500743,中興紡織廠股份有限公司楊梅化纖廠
中懋化學股份有限公司,04660003,R1402378,中懋化學股份有限公司
仁盛企業有限公司,01984725,F0713177,仁盛企業有限公司
仁鴻資源再生有限公司,24492981,D1413241,仁鴻資源再生有限公司
允成化學工業股份有限公司,71047701,R9000349,允成化學工業股份有限公司
允堡龍實業股份有限公司,86095954,P4603264,允堡龍實業股份有限公司斗六廠
元一實業股份有限公司,72050149,R1000203,元一實業股份有限公司
元佳宇有限公司,28877776,E1600381,元佳宇有限公司
元佳宇有限公司,28877776,E1600390,元佳宇有限公司二廠
元晃合成樹脂有限公司,22932750,R1000785,元晃合成樹脂有限公司
元際股份有限公司,86802541,S2300572,元際股份有限公司
元鴻應用材料股份有限公司,22878088,A42B2698,元鴻應用材料股份有限公司
元鴻應用材料股份有限公司,22878088,L8803038,元鴻應用材料股份有限公司幼獅廠
友達晶材股份有限公司,24410807,B9100165,友達晶材股份有限公司中港廠
友達晶材股份有限公司,24410807,B9203634,友達晶材股份有限公司后里段后里小段19-7地號新建工程
友達晶材股份有限公司,24410807,B23A7463,友達晶材股份有限公司台中廠
友達晶材股份有限公司,24410807,B9202404,友達晶材股份有限公司
友達晶材股份有限公司,24410807,B9200124,友達晶材股份有限公司后里廠
天弘化學股份有限公司,47104168,L0100736,天弘化學股份有限公司台中分廠
天弘化學股份有限公司,47104168,J5901916,天弘化學股份有限公司
