公司名稱,公司簡稱,股票代碼,統編,上市上櫃產業別,上市上櫃產業編碼,自訂產業別
其祥生物科技控股有限公司,其祥-KY,1258,53028230,食品工業,02,食品工業
富味鄉食品股份有限公司,富味鄉,1260,12467902,食品工業,02,食品工業
德麥食品股份有限公司,德麥,1264,23420497,食品工業,02,食品工業
京華堂實業股份有限公司,京華堂,1267,84478111,食品工業,02,食品工業
利統股份有限公司,利統,1293,89955491,食品工業,02,食品工業
漢田生技股份有限公司,漢田生技,1294,28814153,食品工業,02,食品工業
南僑投資控股股份有限公司,南僑,1702,07305506,食品工業,02,食品工業
臺鹽實業股份有限公司,臺鹽,1737,89397503,食品工業,02,食品工業
金穎生物科技股份有限公司,金穎生技,1796,16962158,食品工業,02,食品工業
中華食品實業股份有限公司,中華食,4205,76316325,食品工業,02,食品工業
環泰企業股份有限公司,環泰,4207,12529007,食品工業,02,食品工業
南璋股份有限公司,南璋,4712,43696296,食品工業,02,食品工業
台灣塑膠工業股份有限公司,台塑,1301,75708007,塑膠工業,03,石化業
南亞塑膠工業股份有限公司,南亞,1303,75370905,塑膠工業,03,石化業
台灣聚合化學品股份有限公司,台聚,1304,11917107,塑膠工業,03,石化業
華夏海灣塑膠股份有限公司,華夏,1305,11686106,塑膠工業,03,石化業
三芳化學工業股份有限公司,三芳,1307,83387850,塑膠工業,03,石化業
亞洲聚合股份有限公司,亞聚,1308,20747385,塑膠工業,03,石化業
台達化學工業股份有限公司,台達化,1309,11893409,塑膠工業,03,石化業
台灣苯乙烯工業股份有限公司,台苯,1310,20844865,塑膠工業,03,石化業
國喬石油化學股份有限公司,國喬,1312,04212250,塑膠工業,03,石化業
聯成化學科技股份有限公司,聯成,1313,04748660,塑膠工業,03,石化業
中國石油化學工業開發(股)公司,中石化,1314,03084741,塑膠工業,03,石化業
達新工業股份有限公司,達新,1315,51059101,塑膠工業,03,石化業
大洋塑膠工業股份有限公司,大洋,1321,15024509,塑膠工業,03,石化業
永裕塑膠工業股份有限公司,永裕,1323,68192103,塑膠工業,03,石化業
地球綜合工業股份有限公司,地球,1324,07147916,塑膠工業,03,石化業
恒大股份有限公司,恆大,1325,11455800,塑膠工業,03,石化業
台灣化學纖維股份有限公司,台化,1326,58650902,塑膠工業,03,石化業
台灣中油股份有限公司,中油,1328,03707901,塑膠工業,03,石化業
亞洲塑膠再生資源控股有限公司,再生-KY,1337,26068617,塑膠工業,03,石化業
勝悅新材料有限公司,勝悅-KY,1340,37722768,塑膠工業,03,石化業
富林塑膠工業(開曼)控股(股)公司,富林-KY,1341,82716171,塑膠工業,03,石化業
旭東環保科技股份有限公司,旭東環保,1343,89323361,塑膠工業,03,石化業
信立化學工業股份有限公司,信立,4303,72104709,塑膠工業,03,石化業
勝昱科技股份有限公司,勝昱,4304,12413104,塑膠工業,03,石化業
世坤塑膠股份有限公司,世坤,4305,22281617,塑膠工業,03,石化業
炎洲股份有限公司,炎洲,4306,35894259,塑膠工業,03,石化業
通用矽酮股份有限公司,通用,4730,11846954,塑膠工業,03,石化業
台塑石化股份有限公司,台塑化,6505,86522210,塑膠工業,03,石化業
萬國通路股份有限公司,萬國通,9950,73644351,塑膠工業,03,石化業
遠東新世紀股份有限公司,遠東新,1402,03522600,紡織纖維,04,紡織纖維
中興紡織廠股份有限公司,中興紡織,1408,35082604,紡織纖維,04,紡織纖維
新光合成纖維股份有限公司,新纖,1409,07435515,紡織纖維,04,紡織纖維
南洋染整股份有限公司,南染,1410,35286207,紡織纖維,04,紡織纖維
宏洲纖維工業股份有限公司,宏洲,1413,07220710,紡織纖維,04,紡織纖維
東和紡織股份有限公司,東和,1414,73141105,紡織纖維,04,紡織纖維
嘉裕股份有限公司,嘉裕,1417,11825825,紡織纖維,04,紡織纖維
東華合纖股份有限公司,東華,1418,11083148,紡織纖維,04,紡織纖維
新光紡織股份有限公司,新紡,1419,07435901,紡織纖維,04,紡織纖維
利華羊毛工業股份有限公司,利華,1423,11311608,紡織纖維,04,紡織纖維
福懋興業股份有限公司,福懋,1434,14001199,紡織纖維,04,紡織纖維
中和羊毛工業股份有限公司,中和,1439,11113403,紡織纖維,04,紡織纖維
臺南紡織股份有限公司,南紡,1440,68919301,紡織纖維,04,紡織纖維
大東紡織股份有限公司,大東,1441,51037304,紡織纖維,04,紡織纖維
力麗企業股份有限公司,力麗,1444,07663290,紡織纖維,04,紡織纖維
大宇紡織股份有限公司,大宇,1445,07015014,紡織纖維,04,紡織纖維
宏和精密紡織股份有限公司,宏和,1446,73641170,紡織纖維,04,紡織纖維
力鵬企業股份有限公司,力鵬,1447,33955322,紡織纖維,04,紡織纖維
佳和實業股份有限公司,佳和,1449,72055019,紡織纖維,04,紡織纖維
年興紡織股份有限公司,年興,1451,22266307,紡織纖維,04,紡織纖維
宏益纖維工業股份有限公司,宏益,1452,43121481,紡織纖維,04,紡織纖維
台灣富綢纖維股份有限公司,台富,1454,04301794,紡織纖維,04,紡織纖維
集盛實業股份有限公司,集盛,1455,43295237,紡織纖維,04,紡織纖維
宜進實業股份有限公司,宜進,1457,07669338,紡織纖維,04,紡織纖維
聯發紡織纖維股份有限公司,聯發,1459,33653494,紡織纖維,04,紡織纖維
宏遠興業股份有限公司,宏遠,1460,22817999,紡織纖維,04,紡織纖維
強盛染整股份有限公司,強盛,1463,07715023,紡織纖維,04,紡織纖維
得力實業股份有限公司,得力,1464,73686632,紡織纖維,04,紡織纖維
偉全實業股份有限公司,偉全,1465,33700601,紡織纖維,04,紡織纖維
聚隆纖維股份有限公司,聚隆,1466,22976047,紡織纖維,04,紡織纖維
南緯實業股份有限公司,南緯,1467,69559487,紡織纖維,04,紡織纖維
昶和纖維興業股份有限公司,昶和,1468,36123364,紡織纖維,04,紡織纖維
大統新創股份有限公司,大統新創,1470,22267777,紡織纖維,04,紡織纖維
三洋實業股份有限公司,三洋實業,1472,07029919,紡織纖維,04,紡織纖維
台南企業股份有限公司,台南,1473,68919702,紡織纖維,04,紡織纖維
弘裕企業股份有限公司,弘裕,1474,58003997,紡織纖維,04,紡織纖維
台灣業旺股份有限公司,業旺,1475,23912057,紡織纖維,04,紡織纖維
儒鴻企業股份有限公司,儒鴻,1476,35884479,紡織纖維,04,紡織纖維
聚陽實業股份有限公司,聚陽,1477,23609668,紡織纖維,04,紡織纖維
東盟開發實業股份有限公司,東盟開發,1480,88121697,紡織纖維,04,紡織纖維
東隆興業股份有限公司,東隆興,4401,18770509,紡織纖維,04,紡織纖維
福大材料科技股份有限公司,福大,4402,56349214,紡織纖維,04,紡織纖維
新昕纖維股份有限公司,新昕纖,4406,07652202,紡織纖維,04,紡織纖維
飛寶企業股份有限公司,飛寶企業,4413,22676914,紡織纖維,04,紡織纖維
如興股份有限公司,如興,4414,49744324,紡織纖維,04,紡織纖維
金洲海洋科技股份有限公司,金洲,4417,91871595,紡織纖維,04,紡織纖維
元勝國際實業股份有限公司,元勝,4419,86124493,紡織纖維,04,紡織纖維
光明絲織廠股份有限公司,光明,4420,29576307,紡織纖維,04,紡織纖維
利勤實業股份有限公司,利勤,4426,16229261,紡織纖維,04,紡織纖維
展頌股份有限公司,展頌,4427,22927617,紡織纖維,04,紡織纖維
聚紡股份有限公司,聚紡,4429,16728098,紡織纖維,04,紡織纖維
銘旺實業股份有限公司,銘旺實,4432,22069170,紡織纖維,04,紡織纖維
興采實業股份有限公司,興采,4433,23282425,紡織纖維,04,紡織纖維
廣越企業股份有限公司,廣越,4438,89620361,紡織纖維,04,紡織纖維
冠星集團控股有限公司,冠星-KY,4439,76545523,紡織纖維,04,紡織纖維
宜新實業股份有限公司,宜新實業,4440,54332940,紡織纖維,04,紡織纖維
振大環球股份有限公司,振大環球,4441,86010365,紡織纖維,04,紡織纖維
雙邦實業股份有限公司,雙邦,6506,23531297,紡織纖維,04,紡織纖維
士林電機廠股份有限公司,士電,1503,11039306,電機機械,05,電機機械
東元電機股份有限公司,東元,1504,11332202,電機機械,05,電機機械
正道工業股份有限公司,正道,1506,68193807,電機機械,05,電機機械
中興電工機械股份有限公司,中興電,1513,33029464,電機機械,05,電機機械
亞力電機股份有限公司,亞力,1514,03213392,電機機械,05,電機機械
力山工業股份有限公司,力山,1515,55759180,電機機械,05,電機機械
利奇機械工業股份有限公司,利奇,1517,59008318,電機機械,05,電機機械
華城電機股份有限公司,華城,1519,33284077,電機機械,05,電機機械
日馳企業股份有限公司,日馳,1526,11099726,電機機械,05,電機機械
鑽全實業股份有限公司,鑽全,1527,20982120,電機機械,05,電機機械
恩德科技股份有限公司,恩德,1528,11551634,電機機械,05,電機機械
樂士股份有限公司,樂士,1529,34211074,電機機械,05,電機機械
亞崴機電股份有限公司,亞崴,1530,22224692,電機機械,05,電機機械
高林股份有限公司,高林股,1531,29538509,電機機械,05,電機機械
勤美股份有限公司,勤美,1532,03474311,電機機械,05,電機機械
中宇環保工程股份有限公司,中宇,1535,84252401,電機機械,05,電機機械
廣隆光電科技股份有限公司,廣隆,1537,23556563,電機機械,05,電機機械
正峰工業股份有限公司,正峰,1538,44947686,電機機械,05,電機機械
巨庭機械股份有限公司,巨庭,1539,52646207,電機機械,05,電機機械
喬福機械工業股份有限公司,喬福,1540,52903090,電機機械,05,電機機械
錩泰工業股份有限公司,錩泰,1541,23248433,電機機械,05,電機機械
台全電機股份有限公司,台全電機,1550,11824327,電機機械,05,電機機械
金豐機器工業股份有限公司,金豐機器,1557,58303609,電機機械,05,電機機械
伸興工業股份有限公司,伸興,1558,55754185,電機機械,05,電機機械
中國砂輪企業股份有限公司,中砂,1560,03089008,電機機械,05,電機機械
巧新科技工業股份有限公司,巧新,1563,84980915,電機機械,05,電機機械
力肯實業股份有限公司,力肯,1570,36253534,電機機械,05,電機機械
新麥企業股份有限公司,新麥,1580,12461082,電機機械,05,電機機械
程泰機械股份有限公司,程泰,1583,52353530,電機機械,05,電機機械
和勤精機股份有限公司,和勤,1586,86985605,電機機械,05,電機機械
永冠能源科技集團有限公司,永冠-KY,1589,41048746,電機機械,05,電機機械
亞德客國際集團,亞德客-KY,1590,53666460,電機機械,05,電機機械
英屬開曼群島商駿吉控股(股)公司,駿吉-KY,1591,53650116,電機機械,05,電機機械
日高工程實業股份有限公司,日高,1594,04938839,電機機械,05,電機機械
直得科技股份有限公司,直得,1597,16755427,電機機械,05,電機機械
宏佳騰動力科技股份有限公司,宏佳騰,1599,80621419,電機機械,05,電機機械
上銀科技股份有限公司,上銀,2049,23503047,電機機械,05,電機機械
世德工業股份有限公司,世德,2066,22546808,電機機械,05,電機機械
嘉鋼精密工業股份有限公司,嘉鋼,2067,66402912,電機機械,05,電機機械
精湛光學科技股份有限公司,精湛,2070,89855649,電機機械,05,電機機械
鍾慶科技開發股份有限公司,鍾慶科技,2219,64998780,電機機械,05,電機機械
泰茂實業股份有限公司,泰茂,2230,86070187,電機機械,05,電機機械
謚源實業股份有限公司,謚源,2235,22479934,電機機械,05,電機機械
華德動能科技股份有限公司,華德動能,2237,27579308,電機機械,05,電機機械
詠勝昌股份有限公司,詠勝昌,2245,16696080,電機機械,05,電機機械
凱勝綠能科技股份有限公司,凱勝綠能,2246,53823551,電機機械,05,電機機械
華勝汽車電子股份有限公司,華勝-KY,2248,73676873,電機機械,05,電機機械
湧盛電機股份有限公司,湧盛,2249,70849653,電機機械,05,電機機械
巨鎧精密工業股份有限公司,巨鎧精密,2254,54297090,電機機械,05,電機機械
大同股份有限公司,大同,2371,11026506,電機機械,05,電機機械
精確實業股份有限公司,精確,3162,86406401,電機機械,05,電機機械
大量科技股份有限公司,大量,3167,43938484,電機機械,05,電機機械
公準精密工業股份有限公司,公準,3178,75940820,電機機械,05,電機機械
至寶光電股份有限公司,至寶電,3226,22193115,電機機械,05,電機機械
彬台科技股份有限公司,彬台,3379,05087498,電機機械,05,電機機械
台興電子企業股份有限公司,台興,3426,12499995,電機機械,05,電機機械
元創精密車業股份有限公司,元創精密,3685,52811070,電機機械,05,電機機械
健信科技工業股份有限公司,健信,4502,55878947,電機機械,05,電機機械
金雨企業股份有限公司,金雨,4503,59260902,電機機械,05,電機機械
崇友實業(股)公司,崇友,4506,04416894,電機機械,05,電機機械
高鋒工業股份有限公司,高鋒,4510,55857746,電機機械,05,電機機械
福裕事業股份有限公司,福裕,4513,55848584,電機機械,05,電機機械
永彰機電股份有限公司,永彰,4523,22522361,電機機械,05,電機機械
東台精機股份有限公司,東台,4526,88120872,電機機械,05,電機機械
(方方土)霖冷凍機械股份有限公司,方方土霖,4527,22551554,電機機械,05,電機機械
江興鍛壓工業股份有限公司,江興鍛,4528,52604255,電機機械,05,電機機械
宏易創新國際股份有限公司,宏易,4530,36243760,電機機械,05,電機機械
瑞智精密股份有限公司,瑞智,4532,23603284,電機機械,05,電機機械
協易機械工業股份有限公司,協易機,4533,36096704,電機機械,05,電機機械
慶騰精密科技股份有限公司,慶騰,4534,84189908,電機機械,05,電機機械
至興精機股份有限公司,至興,4535,22794503,電機機械,05,電機機械
大詠城機械股份有限公司,大詠城,4538,60256758,電機機械,05,電機機械
台灣智慧光網股份有限公司,台智網,4539,53729177,電機機械,05,電機機械
全球傳動科技股份有限公司,全球傳動,4540,29168533,電機機械,05,電機機械
萬在工業股份有限公司,萬在,4543,22212598,電機機械,05,電機機械
春日機械工業股份有限公司,春日,4544,85721346,電機機械,05,電機機械
長亨精密股份有限公司,長亨,4546,22540430,電機機械,05,電機機械
桓達科技股份有限公司,桓達,4549,80132123,電機機械,05,電機機械
