stock_code,year,total_operating_revenue,total_operating_costs,total_operating_expenses,net_operating_income,profit_or_loss,total_comprehensive_income,total_assets
2404,2018,18127934,14944493,811341,2372100,2274169,1274491,20810603
2405,2018,4204530,3588798,788404,-172672,-135832,-125129,4096543
2406,2018,9378711,9520529,1020462,16147,-2162825,-2193443,18708505
2408,2018,84721804,38105801,7260533,39355470,39360850,39113270,182585813
2409,2018,307634389,279494885,21471639,6667865,7959895,6576120,409831775
2412,2018,215483158,139545457,32404493,43643659,36456171,35441718,467268704
2413,2018,3832372,3221206,598837,12329,4468,-14178,4756301
2414,2018,17147711,15604122,1241908,301681,260503,269228,5995820
2415,2018,2197370,1630177,312426,212533,125738,165837,4797160
2417,2018,2801134,1424084,1377353,-303,27399,34244,4758772
2419,2018,10057776,8210403,1485110,362263,295935,282476,9961129
2420,2018,2820470,1780188,494787,545495,500570,501087,5650553
2421,2018,11965298,9563763,1799986,601549,607683,575126,8971556
2423,2018,2575323,1277716,947456,350151,343044,330341,3246879
2425,2018,4083032,3715016,125123,242893,244304,161093,2014503
2426,2018,3028131,2413645,448469,166017,488151,487965,6431402
2427,2018,3354042,2416260,840346,97436,115559,58329,4276492
2428,2018,6019949,3778789,856125,1385035,988628,917883,8245947
2429,2018,905136,798709,105910,517,-11810,-11785,932718
2430,2018,20570152,17490282,2781151,298719,222651,220194,9261481
2431,2018,2428431,2299570,381735,-252874,-189823,-256988,2287901
2433,2018,4090448,2846704,786766,456978,544284,808073,8452109
2434,2018,304695,411274,66837,-173416,-180728,-175518,870812
2436,2018,2564457,1930122,457354,176981,176265,167139,3837550
2438,2018,444165,311305,62916,69944,53406,43126,1010335
2439,2018,35494808,30769740,2421935,2303133,2060849,-522264,30331576
2440,2018,3385891,3196790,176683,12418,-57959,-35697,2652852
2441,2018,12356434,9098195,440326,2817913,2375453,2307901,18824560
2442,2018,6127933,4623434,653524,850975,874419,861078,8147259
2443,2018,1186858,1175338,311566,-300046,-394044,-412659,1915812
2444,2018,1208068,1096707,209112,-97751,-99100,-91978,1274688
2449,2018,20815369,15451671,2644017,2719681,1793890,1548217,47155759
2450,2018,31240940,27696178,3367791,119028,398517,375881,9727886
2451,2018,17615965,14085715,1390496,2139754,2081995,2066577,21864512
2453,2018,4726730,3616599,1073540,36591,60231,62895,3338658
2454,2018,238057346,146333658,75541212,16182476,20782396,20860976,402836044
2456,2018,17553007,11422771,2306880,3823356,2866095,2678691,41047234
2457,2018,12138723,10875533,1623891,-360701,-246614,-285175,10476559
2458,2018,8651332,4709457,2213889,1730288,1531702,1560850,9803147
2459,2018,8792493,7582601,684659,525233,491269,407269,8284872
2460,2018,3950854,3672842,377967,-99955,-89247,-189478,6011766
2461,2018,5202250,4116452,921044,172849,24455,-53787,6610157
2462,2018,4481851,4116284,409818,-44251,11266,-40844,4910019
2464,2018,14406440,11746505,1512769,1146252,953813,889343,12418628
2465,2018,3329161,2853144,489582,-13565,-82683,-87006,1259908
2466,2018,2626834,2416191,280871,-70228,3502,-10911,3968060
2467,2018,5699786,3902079,1118510,679197,597641,560078,6509730
2468,2018,1658723,1470521,154224,33978,42486,39296,1567110
2471,2018,673521,424530,206048,42943,57174,59633,1117235
2472,2018,8048055,5891006,1003577,1153472,904149,784883,10904598
2474,2018,95416141,56791945,9019834,29604362,27994853,27466544,257159913
2476,2018,5126570,3753401,863873,510600,354849,257810,7445015
2477,2018,3445190,2760865,510834,173491,168671,164303,5617550
2478,2018,6020511,3698357,734241,1587913,1368843,1297842,8753366
2480,2018,4648442,3267015,881626,499801,404220,389032,4963595
2481,2018,11365605,8827862,1605288,932455,842531,516000,15750436
2482,2018,1013873,613098,393508,7267,3336,6698,1121383
2483,2018,2037314,1581320,370551,85443,160667,170620,3713331
2484,2018,2691882,2114678,359715,217489,259983,311490,4119949
2485,2018,7771558,7119343,778044,-125829,277170,275399,9016100
2486,2018,3988485,3651011,530648,-193174,-115374,-142907,6281484
2488,2018,2632421,2018109,320057,294255,294675,294579,3023933
2489,2018,15077957,13380665,1763410,-66118,182152,84802,19017444
2491,2018,355194,271173,108801,-24780,-41441,-41441,2088398
2492,2018,47755334,18909295,3644762,25201277,20529452,20079809,63468502
2495,2018,1384101,811134,527387,45580,119414,118976,4968007
2496,2018,917579,487004,318765,111810,126454,125462,1313327
2497,2018,1977930,1667077,578741,-267888,-232002,-222272,2827271
2498,2018,23740610,23225592,14478631,-13963613,12024901,11459054,67710819
2501,2018,14294770,10576571,1489966,2228233,4241797,3980851,48771388
2504,2018,18644806,17236929,957895,449982,591187,561761,35709080
2505,2018,752654,521191,270814,-39351,-50989,-60132,17689535
2506,2018,1626127,867909,539594,218307,237489,143152,15717268
2509,2018,3950639,2419515,388271,1142853,986870,1020914,8760007
2511,2018,11855207,8492700,2303674,1058833,1243877,1033119,50755603
2514,2018,111994,64555,149053,-101614,25097,-54535,12623316
2515,2018,11062421,10008122,701762,352537,356435,277210,39790804
2516,2018,7471526,7369276,157739,-55489,66810,107834,9142060
2520,2018,14435680,10436554,2089225,1909901,673313,682104,51163308
2524,2018,3297861,2118414,516544,662903,497247,497661,33312038
