stock_code,year,total_operating_revenue,total_operating_costs,total_operating_expenses,net_operating_income,profit_or_loss,total_comprehensive_income,total_assets
000104,2019,696571,,506261,190310,197434,161463,12023914
000116,2019,4720072,,3844808,875264,1164452,1683711,79898584
000218,2019,611362,,423264,188098,250003,230797,19660475
000511,2019,41688,,77867,-36179,85592,87549,902508
000532,2019,135346,,122997,12349,48367,50674,1865657
000538,2019,1551833,,1367852,183981,271557,237564,23393545
000546,2019,15798,,27162,-11364,13288,15961,459260
000560,2019,110255,,133670,-23415,8245,8428,958918
000601,2019,197401,,281831,-84430,63288,389329,5280158
000616,2019,1799059,,1308142,490917,514880,600211,29608563
000638,2019,144154,,122993,21161,24714,24026,1579919
000646,2019,465976,,421855,44121,84438,86345,4857347
000695,2019,59859,,55605,4254,7458,9243,768213
000700,2019,3947418,,2972910,974508,1089660,1333222,68568809
000708,2019,12633,,21222,-8589,-4849,-4654,137186
000775,2019,58107,,54642,3465,8632,7919,623140
000779,2019,3147199,,2423798,723401,909953,1068462,49910307
000815,2019,2437787,,1782279,655508,640833,662778,41661803
000838,2019,88892,,78412,10480,20412,22167,1137341
000856,2019,1168107,,671033,497074,480149,479866,11502196
000888,2019,3787800,,3083179,704621,700075,884284,36205688
000930,2019,3601961,,2841421,760540,931204,1045961,47879890
000960,2019,8302334,,6738696,1563638,2901398,3433620,139284767
000980,2019,40796071,,31348704,9447367,10013261,10656960,738597518
0009A0,2019,9417580,,7915873,1501707,1904082,2364666,125788532
1101,2019,122783014,86872759,5753534,30156721,25455090,30479849,367482385
1102,2019,89347637,63746928,3523141,22063176,22243953,21626649,297278512
1103,2019,1884002,1685405,633383,-434786,1408671,4549812,38720634
1104,2019,5005731,4418966,415870,170895,1141682,958426,23401933
1108,2019,3731696,3432815,225119,77882,45904,93939,7328877
1109,2019,7822895,5218440,537954,2066501,1458617,1287080,11191294
1110,2019,1584940,1502651,90798,-8509,33243,97750,9740348
1111,2019,439977,421032,29805,-10860,6712,-8130,1309292
1201,2019,20228119,14105933,5577580,544606,1350879,1149326,19096943
1203,2019,6323237,4343282,1056425,923530,717479,825711,9425026
1210,2019,77769986,66038732,8010040,3721214,2974027,2882374,47300737
1213,2019,435368,408362,64245,-37239,-43093,-43058,1266002
1215,2019,21173634,18151257,1550669,1459297,1823383,2151867,18650361
1216,2019,447977703,294014598,124335465,29627640,28483554,24983727,477455273
1217,2019,4468238,3057727,1278477,132034,65333,178121,12895986
1218,2019,8000584,6545893,1295263,160207,582201,591707,9229347
1219,2019,12259254,11262328,962491,33435,141379,137885,8937571
1220,2019,2982351,2563623,236781,181947,140084,135533,3149822
1225,2019,10646506,9633963,604456,445828,395480,346710,7741017
1227,2019,31266232,21635219,5207140,4423873,3454836,3198647,25488265
1229,2019,8271293,6401664,914259,955370,3146096,4816660,46544943
1231,2019,8588903,6729864,1268755,590284,524680,515478,7466043
1232,2019,17150108,15131192,788140,1230776,999104,1003880,5807485
1233,2019,2247585,946584,1122572,178429,156896,180950,2490105
1234,2019,9145655,6695015,1974991,475649,846511,897020,22642968
1235,2019,61778,30508,16277,14993,46889,-2500352,4206027
1236,2019,1864663,1362092,501571,1000,15779,-106177,2736135
1237,2019,26409607,20954606,4181489,1245034,2742529,4366836,660396021
1242,2019,3465735,1742362,1647093,76280,126412,723837,5029635
1246,2019,7078083,6837939,129546,110598,84301,82292,2190675
1256,2019,3520879,2164020,603708,753151,547716,469809,3146655
1260,2019,4260496,3682633,381721,196142,116324,103735,3839764
1267,2019,52159,15924,34080,2155,4227,2949,174346
1269,2019,2897130,1277129,1416794,203207,92098,81234,2304321
1271,2019,172188,63505,66589,42094,38236,38816,317383
1293,2019,286608,157413,135456,-6261,-5590,-7141,201373
1301,2019,207848572,175734622,11917584,20196366,37324162,30555558,497087959
1303,2019,286303059,258172796,18251842,9885385,23209523,8625073,554678679
1304,2019,55656741,48924372,3800636,2931733,2545401,1551916,71425786
1305,2019,15117855,13148375,1195581,773899,697990,695700,12331233
1307,2019,10271411,7904038,1716283,651090,430420,245308,15136071
1308,2019,6791157,5755709,237041,798407,821021,790731,16923091
1309,2019,17672204,16426138,731401,514665,397977,376359,8004741
1310,2019,12219389,10827452,321257,1070680,881756,737614,9304342
1312,2019,20468229,17829140,1268878,1370211,2176211,1689744,31486407
1313,2019,62714942,60653888,2415242,-354188,-140376,838641,45156997
1314,2019,29624094,27996514,2036600,-409020,1733635,1539970,96468490
1315,2019,2440599,2034682,364219,41698,698140,889543,9925313
1316,2019,722740,599304,238422,-114986,-74851,-74196,7057814
1319,2019,21613680,16210902,3238343,2164435,1855321,1879942,37105350
1321,2019,4656690,4446989,322560,-112859,117087,-19633,11575506
1323,2019,3639735,2770336,418385,451014,353283,284903,5126573
1324,2019,1136341,951114,175395,9832,3194,-7226,1223456
1325,2019,772775,689096,50105,33574,34691,24576,1874451
1326,2019,315499063,283442024,15567083,16489956,34448357,23353704,550549017
1328,2019,1014108034,956348204,21546875,36212955,32442819,33127524,801948280
1337,2019,1258400,1527022,394339,-662961,-642026,-898911,7586668
1338,2019,7427876,5520730,1321811,585335,391790,167782,10091517
1339,2019,2654787,1849701,328113,476973,372828,336901,5348549
1340,2019,1157023,1370878,156140,-369995,-438324,-665230,6122503
1341,2019,3021131,2394825,266299,360007,281172,254080,2144636
1342,2019,1442715,1084461,137626,220614,180523,180523,1518173
1343,2019,370319,265254,58180,46885,37935,37572,728065
1402,2019,250146590,205396660,30987491,13762994,16435163,15979794,576079699
1408,2019,8743918,7664780,1032449,46689,-390051,-474327,8157594
1409,2019,37989046,,3138493,,2251393,2919679,157182832
1410,2019,398105,254622,67769,75714,66285,69291,1370392
1413,2019,2947365,2800724,87982,58659,68560,67703,2751552
1414,2019,790778,776946,78598,-64766,36405,65692,4574578
1416,2019,258885,22231,281573,-44919,-133726,-119617,7143825
1417,2019,1405652,1061638,620541,-276527,317339,564476,4384017
1418,2019,211540,332775,71427,-192441,-214094,-213915,2456023
1419,2019,2083581,1488769,481444,113409,378820,576822,12918739
