stock_code,year,total_operating_revenue,total_operating_costs,total_operating_expenses,net_operating_income,profit_or_loss,total_comprehensive_income,total_assets
000104,2020,1030702,,578912,451790,387724,420583,16223491
000116,2020,6219663,,4173812,2045851,2032162,3242493,86154544
000218,2020,466606,,426702,39904,97350,218205,24754029
000511,2020,57116,,81894,-24778,-21029,-18705,831113
000532,2020,223412,,162057,61355,103119,104681,2967107
000538,2020,2473310,,1727090,746220,743886,709726,31884117
000546,2020,22133,,29808,-7675,19,4352,547086
000560,2020,191240,,178312,12928,47411,60081,1304747
000601,2020,139789,,269449,-129660,-5490,197988,5985883
000616,2020,2449512,,1568834,880678,856976,914465,34697145
000638,2020,269905,,177895,92010,53291,88484,2257043
000646,2020,671741,,508642,163099,179729,163529,6957622
000695,2020,97035,,68404,28631,27192,24674,1066470
000700,2020,4795909,,3504463,1291446,1546600,1627488,79217420
000708,2020,20180,,25310,-5130,-1485,1630,175566
000775,2020,84670,,76120,8550,17956,13702,969876
000779,2020,4244553,,2945467,1299086,1170712,1181001,64727877
000815,2020,3083421,,2250034,833387,773269,719810,53905341
000838,2020,148074,,103557,44517,55508,58793,1711118
000856,2020,1796470,,923338,873132,798042,804264,20818460
000888,2020,5736461,,4099239,1637222,1467385,1553308,64872315
000930,2020,-416979,,3099373,-3516352,-3632090,-3924758,50985468
000960,2020,10936607,,7287923,3648684,4203270,4433391,132413457
000980,2020,51766379,,35070983,16695396,15467050,17427764,904246478
0009A0,2020,11135555,,8475896,2659659,2873619,2784526,136387074
1101,2020,114367247,76779667,6245763,31341817,27991393,25495895,389506236
1102,2020,78240880,54911404,3659338,19670138,18773807,17584476,297086855
1103,2020,2058417,2202158,603155,822567,1837994,2138223,40646227
1104,2020,5426217,4519186,413889,493142,1259795,1339025,24102936
1108,2020,4530172,3813497,260241,447475,392269,396695,8027307
1109,2020,7593294,4983512,507423,2102359,1448873,1529166,11811053
1110,2020,1590986,1523614,97945,-30573,16949,17638,9865320
1111,2020,381709,335364,37154,9191,9503,10556,1314914
1201,2020,18650871,13206608,4849210,595053,536142,587863,18031521
1203,2020,6043700,3999778,1069011,974911,693921,487235,9331602
1210,2020,81650892,69388663,8050281,4211948,4072346,4701938,51693036
1213,2020,409612,404063,57997,-52448,-27252,-27261,1255281
1215,2020,22189635,18664912,1652968,1898598,1639876,1435445,19546349
1216,2020,447319979,293289723,124246365,29783891,30800665,30351339,495338492
1217,2020,4614486,3095482,1302903,216101,249394,430830,13340859
1218,2020,8356125,6715645,1323957,316542,851541,864520,9240265
1219,2020,12324165,10974663,1026574,331428,565233,567581,8550063
1220,2020,2775071,2328094,228628,218349,189740,184428,3101296
1225,2020,10213493,9143081,604893,508157,417787,417082,7693394
1227,2020,34466244,24856790,5565275,4044179,3255830,3496181,27823862
1229,2020,9544161,7507842,986257,1050062,3499454,8788080,55988518
1231,2020,8817321,6930265,1147806,739250,685698,690836,8822575
1232,2020,17440979,14992999,829844,1618136,1322623,1324194,6348688
1233,2020,1906194,810867,1030345,64982,57383,32218,2433516
1234,2020,9204945,6569791,2019618,615536,890163,869529,22211391
1235,2020,78579,42078,18701,17800,65636,466775,4167382
1236,2020,1637280,1168904,479868,-11492,180,-44060,2764972
1237,2020,25435173,19825005,4130895,1369515,4567149,4715526,657964393
1242,2020,2731492,1521200,1372629,-162337,5528,-11003,4667593
1246,2020,7172390,6901391,122528,147404,118982,123930,2433843
1256,2020,3479683,1880717,608960,990006,776806,822187,3557450
1260,2020,3763902,3267390,338444,158068,128923,131514,3775725
1267,2020,67637,25744,38141,3752,4474,4430,169636
1269,2020,2809456,1356469,1304159,148828,99562,102665,2323195
1271,2020,314477,106018,82580,125879,125698,125990,511154
1293,2020,425957,237684,142809,45464,43293,44171,260807
1301,2020,185813405,156759121,11955069,17099215,20036199,11427196,479280423
1303,2020,273353806,233757221,18375808,21220106,26888091,18779923,584712347
1304,2020,50201273,39721391,3583866,6896016,5682637,6199409,77324516
1305,2020,13733148,10373858,1205738,2153552,1791710,1874357,13893625
1307,2020,8441756,6578085,1365320,498351,218012,-74042,15340889
1308,2020,5703546,4574394,206849,922303,1103587,2203483,16883503
1309,2020,15498381,12375109,701809,2421463,1919818,2156298,9245870
1310,2020,8113225,7808122,214775,90328,289723,776408,9012370
1312,2020,16575784,13468788,1350118,1756878,4320555,3927682,36322368
